iter	Passed	Remaining
400	27771	6856
401	27838	6786
402	27906	6716
403	27972	6646
404	28041	6577
405	28107	6507
406	28197	6443
407	28278	6376
408	28355	6308
409	28422	6239
410	28482	6167
411	28543	6096
412	28595	6023
413	28649	5951
414	28704	5879
415	28759	5807
416	28818	5736
417	28875	5664
418	28936	5593
419	28990	5522
420	29042	5449
421	29093	5377
422	29151	5306
423	29213	5236
424	29265	5164
425	29325	5094
426	29379	5022
427	29430	4950
428	29491	4880
429	29551	4810
430	29607	4739
431	29659	4668
432	29709	4597
433	29761	4525
434	29817	4455
435	29873	4385
436	29931	4315
437	29984	4244
438	30036	4173
439	30092	4103
440	30146	4033
441	30199	3962
442	30260	3893
443	30331	3825
444	30400	3757
445	30465	3688
446	30523	3619
447	30580	3549
448	30633	3479
449	30687	3409
450	30748	3340
451	30816	3272
452	30888	3204
453	30952	3136
454	31026	3068
455	31101	3001
456	31183	2934
457	31244	2865
458	31310	2796
459	31400	2730
460	31489	2663
461	31590	2598
462	31707	2533
463	31792	2466
464	31883	2399
465	31969	2332
466	32039	2264
467	32102	2195
468	32206	2128
469	32271	2059
470	32335	1990
471	32390	1921
472	32441	1851
473	32495	1782
474	32553	1713
475	32612	1644
476	32675	1575
477	32740	1506
478	32806	1438
479	32879	1369
480	32946	1301
481	33005	1232
482	33064	1163
483	33122	1094
484	33183	1026
485	33248	957
486	33306	889
487	33365	820
488	33417	751
489	33471	683
490	33524	614
491	33575	545
492	33625	477
493	33679	409
494	33730	340
495	33783	272
496	33832	204
497	33884	136
498	33942	68
499	33999	0
